Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2018-01-02,108.5494155883789,109.08974510199741,108.01856033775836,108.60629009541395,6080900
2018-01-03,109.6301040649414,109.76281610518079,108.69163828545902,108.96653663148075,6946100
2018-01-04,110.03771209716797,111.25108334922902,109.99031184452744,110.19886138452478,7805300
2018-01-05,112.67298889160156,112.80570090231744,110.35999573524697,110.90032527380791,8590500
2018-01-08,113.1280288696289,114.20869546020535,111.9241389642332,112.43603138115971,6660700
2018-01-09,112.90999603271484,113.72523123551349,112.4834226687622,113.72523123551349,6562400
2018-01-10,112.7867660522461,112.8531220699055,111.34588219412275,112.5118604841533,7490300
2018-01-11,113.60199737548828,113.73471664698279,112.50238230296692,112.61613857899205,5982100
2018-01-12,113.8389892578125,114.08545758403402,113.47877188276877,113.86743375228208,5585800
2018-01-16,114.12334442138672,115.59266523729137,113.66833388884706,114.87222345646454,8803800
2018-01-17,115.63059997558594,115.80123075694738,114.44566600287125,114.89119510151104,7991500
2018-01-18,116.70175170898438,116.78706346454574,115.67796724867956,116.14245923756806,8661000
2018-01-19,116.31310272216797,117.2136567790014,115.57370516392848,116.64488998283734,8250700
2018-01-22,117.8582992553711,117.8582992553711,116.02876052634046,116.47429695121151,9355000
2018-01-23,118.16162109375,118.97685627238461,117.74452200730533,118.11422084037646,5683300
2018-01-24,118.06680297851562,118.91994950163479,117.27052372940622,118.54077648347594,6425200
2018-01-25,118.70194244384766,118.93892922967797,118.1426498685115,118.49339291515494,7166400
2018-01-26,119.74468994140625,119.80156445904721,118.26589462463573,119.22331608882014,5604900
2018-01-29,118.34173583984375,120.27554917323218,118.19954953260212,120.14283713163077,6257900
2018-01-30,117.11888122558594,117.82036013916965,116.44583233900725,117.37482379126402,8154400
2018-01-31,117.76347351074219,118.00046028995925,116.63541412734492,117.33689296879393,7338200
2018-02-01,119.1759262084961,119.6878185775427,117.6402491013563,118.24693474639004,11169700
2018-02-02,114.6163101196289,117.28003968588737,114.41723482465933,117.28003968588737,13937700
2018-02-05,110.21781921386719,114.82484324514341,109.02341093336096,112.5213312295053,16623900
2018-02-06,113.72520446777344,114.03802871824912,107.35499937423322,109.20349315929543,19053300
2018-02-07,113.42186737060547,116.08559629946478,113.00476834916392,113.83895915978486,9294000
2018-02-08,107.93328094482422,113.58304602621311,107.62993809589945,113.30814043933378,12673400
2018-02-09,110.26520538330078,111.10887771607301,105.24108290593286,108.58734221370386,17695500
2018-02-12,112.30329132080078,112.65402711049131,110.79605170824603,111.65868701942897,11526300
2018-02-13,112.1895523071289,112.61613289650055,111.03305553881874,111.71557869600267,7803900
2018-02-14,114.54047393798828,114.654222985283,111.38380769480908,111.49756397436774,9206400
2018-02-15,116.11679077148438,116.14527753967042,113.92322268290435,115.56602243703901,6921300
2018-02-16,115.7084732055664,116.79101395635283,115.44258702044066,115.49956056158041,6371400
2018-02-20,115.86038970947266,116.84797195077667,114.92028299490644,115.23365189976185,6182800
2018-02-21,114.36003875732422,116.6390744363215,114.3410499931434,115.89838947073969,7676100
2018-02-22,114.31255340576172,115.26215098022516,113.59086446546478,114.58793757173866,4994000
2018-02-23,116.73404693603516,116.76253370819633,115.11023571914863,115.4425934691215,5036900
2018-02-26,118.31037139892578,118.31986940427927,117.10438553382401,117.35128295902754,6270500
2018-02-27,117.15184783935547,118.98457133005935,117.1328518319687,118.41480702612125,7287200
2018-02-28,116.74351501464844,118.68069471842524,116.68653424007748,117.41772834743266,6780900
2018-03-01,114.33153533935547,117.75008473760555,113.59085048163422,117.04738464756919,8819600
2018-03-02,114.68290710449219,114.88232899011938,111.91958165967495,113.08758273346137,7581900
2018-03-05,115.7369384765625,116.14526568354098,113.41992554741253,114.37901378776002,5810200
2018-03-06,114.9582748413086,117.02839774970563,114.58793238362394,116.63906652912745,7464400
2018-03-07,115.7084732055664,116.07881571268517,113.66683679141478,113.98020575739379,7254100
2018-03-08,116.05979919433594,116.62955620405528,115.062718993687,115.81290183367796,6948900
2018-03-09,118.234375,118.50026111439189,116.67703583440182,117.03788024038322,6397700
2018-03-12,117.97798156738281,118.68068887528217,117.25629274365056,118.46227828069651,8636000
2018-03-13,116.99040222167969,118.69968051909609,116.70552733534598,117.9874824359815,9479500
2018-03-14,116.40166473388672,117.78807623171649,115.7559381360759,117.78807623171649,7855000
2018-03-15,117.1898193359375,118.14890749957179,116.515598802299,116.92392597661718,5861900
2018-03-16,118.25337982177734,118.74717459687608,117.11386567822586,117.60765320847037,9447100
2018-03-19,116.9999008178711,118.04445656276434,116.11677490053742,117.69311014335275,17387800
2018-03-20,118.61422729492188,118.86111742881933,117.0853747391427,117.16133703311284,7779700
2018-03-21,117.00941467285156,119.11752245433277,116.86697358723846,118.60473889303833,7359500
2018-03-22,113.94219207763672,116.49661144862472,113.66680795722675,116.04080150056778,10501500
2018-03-23,111.10292053222656,114.26508231690894,110.87501913405315,113.84725704954532,10024300
2018-03-26,114.5594482421875,114.65440654853973,111.86259466854185,113.08756913673786,8735400
2018-03-27,111.48274993896484,115.4710566122155,110.85601210024753,115.39508707209447,9008600
2018-03-28,111.09343719482422,112.11900448928886,110.1818242369187,111.03646364897256,9420400
2018-03-29,113.59086608886719,114.51196966358302,111.14090257297237,111.74864444972624,12918100
2018-04-02,112.4228744506836,113.79029749750765,110.87503276202158,113.25851784326734,9877100
2018-04-03,113.19202423095703,113.9422071593314,111.56821330176223,112.89765131097182,7084800
2018-04-04,113.77130126953125,114.06568149118583,110.82754976697544,111.00797565332608,8425700
2018-04-05,115.08172607421875,115.86039575290226,114.30305639553524,114.90130022658401,6816000
2018-04-06,111.76763153076172,114.48348117123446,111.21687044408439,114.1226367013625,8383800
2018-04-09,112.80269622802734,114.58793705177006,112.65075713927247,112.65075713927247,7024800
2018-04-10,114.63541412353516,115.05323935196401,113.60984706003931,114.48347504234134,8947200
2018-04-11,113.74280548095703,115.52805370159695,113.59087362411722,113.9422201182903,5874900
2018-04-12,114.96776580810547,115.83190298637939,114.32203923643661,114.33153723972912,5666000
2018-04-13,114.66390228271484,116.29721120111529,114.56894397824246,115.59451105419448,9174300
2018-04-16,115.7369384765625,116.67704519986303,115.38559204499407,115.95534908511772,6903200
2018-04-17,117.56019592285156,117.99700998716406,116.34470480428223,116.71505456550808,5979600
2018-04-18,118.2059326171875,118.57627516482817,117.16136928296406,117.80709605100401,5171000
2018-04-19,117.71211242675781,118.43380859943666,116.94294072308901,118.04447012310517,7294100
