Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,#,&,JOHNSON,#,&,JNJ,JOHNSON,#,&,JNJ,JOHNSON,#,&,JNJ,JOHNSON,#,&,JNJ,JOHNSON,#,&,JNJ,JOHNSON
Date,,,,,,,,,,,,,,,,,,,,,,,
2018-03-07,,,,,,105.29080963134766,,,,105.52744351296236,,,,103.84657226859466,,,,104.0179282673668,,,,6391700,
2018-03-08,,,,,,107.7549819946289,,,,107.9508156162601,,,,105.52742901943016,,,,105.52742901943016,,,,6423400,
2018-03-09,,,,,,109.17475891113281,,,,109.19108149389292,,,,107.34701560696264,,,,108.12217020655208,,,,7557800,
2018-03-12,,,,,,108.22010040283203,,,,109.52562074879681,,,,107.96715638051,,,,109.17476612441038,,,,4942000,
2018-03-13,,,,,,109.62355041503906,,,,110.47213806858811,,,,108.88918350380055,,,,109.17477271102956,,,,9152300,
2018-03-14,,,,,,107.9671630859375,,,,110.72508230273097,,,,107.62445105646061,,,,110.34975000451799,,,,6770600,
2018-03-15,,,,,,108.5709457397461,,,,109.53377889612193,,,,108.08953538679937,,,,108.15481326608608,,,,6147200,
2018-03-16,,,,,,109.07683563232422,,,,109.66432410560819,,,,107.78763795812715,,,,108.65254808532784,,,,14233500,
2018-03-19,,,,,,106.26996612548828,,,,108.90549685394072,,,,105.55192185995992,,,,108.80758625427164,,,,6017000,
2018-03-20,,,,,,107.06143951416016,,,,107.52652729644821,,,,105.56824067016105,,,,106.71057246041477,,,,6214300,
2018-03-21,,,,,,107.04509735107422,,,,108.3424623149431,,,,106.61264236311793,,,,107.21644086302949,,,,5158700,
2018-03-22,,,,,,103.93632507324219,,,,106.62897230478983,,,,103.70785871453116,,,,106.45762876099793,,,,7560100,
2018-03-23,,,,,,102.07593536376953,,,,104.27901686744949,,,,101.91274690804829,,,,104.14029983232184,,,,8452500,
2018-03-26,,,,,,103.94449615478516,,,,104.06689063712,,,,102.16571419054576,,,,103.14486382398253,,,,8358200,
2018-03-27,,,,,,103.79761505126953,,,,105.33977543503424,,,,103.12853232759933,,,,103.71602081184466,,,,7789900,
2018-03-28,,,,,,103.99344635009766,,,,105.27450148034382,,,,103.79761892312494,,,,104.1403184766376,,,,6868500,
2018-03-29,,,,,,104.56458282470703,,,,105.06231565640542,,,,103.47936787753966,,,,104.41771696476972,,,,6119400,
2018-04-02,,,,,,101.6353530883789,,,,104.34432344684444,,,,100.80308172518905,,,,104.29536813878698,,,,8916900,
2018-04-03,,,,,,104.72779846191406,,,,104.84203163033376,,,,101.73323976050966,,,,102.14121714064882,,,,8035000,
2018-04-04,,,,,,106.4086685180664,,,,106.98798945413367,,,,103.12852673402172,,,,103.5446654253315,,,,7717100,
2018-04-05,,,,,,106.65345764160156,,,,107.05326752625035,,,,105.66614685302523,,,,106.40866871091897,,,,5621700,
2018-04-06,,,,,,104.5238265991211,,,,106.59634654567081,,,,103.14486084017418,,,,106.25364698524056,,,,6399300,
2018-04-09,,,,,,105.64984130859375,,,,107.00432948638598,,,,104.18112616336744,,,,104.97259721969763,,,,6395800,
2018-04-10,,,,,,106.27812957763672,,,,106.81666281927491,,,,105.49480736702806,,,,106.27812957763672,,,,6019300,
2018-04-11,,,,,,105.77223205566406,,,,106.35972054851275,,,,105.28265416146246,,,,105.37240969371666,,,,4575400,
2018-04-12,,,,,,106.42496490478516,,,,107.14300902062102,,,,105.95987720283189,,,,106.14754329656878,,,,4559800,
2018-04-13,,,,,,106.57998657226562,,,,107.23275274667577,,,,105.77219948123336,,,,106.96348623283862,,,,4742300,
2018-04-16,,,,,,107.51020050048828,,,,108.42407834736099,,,,107.11854568067554,,,,107.22462378935737,,,,6379600,
2018-04-17,,,,,,106.51473236083984,,,,107.86922029466432,,,,105.103134066206,,,,107.79578735198855,,,,11008700,
2018-04-18,,,,,,104.2137680053711,,,,105.99254383371371,,,,103.57732413555269,,,,105.82120026517735,,,,9383600,
2018-04-19,,,,,,104.07502746582031,,,,104.66251586274096,,,,103.53649436022954,,,,104.14029911251332,,,,5959500,
2018-04-20,,,,,,103.34883880615234,,,,104.68700419113938,,,,102.94901646869026,,,,104.44221525902957,,,,7743900,
2018-04-23,,,,,,103.48756408691406,,,,103.87106389568353,,,,102.63080893007832,,,,103.52835809780404,,,,7501900,
2018-04-24,,,,,,102.96533966064453,,,,104.00159953219759,,,,102.24729544233264,,,,103.57730576930153,,,,6577500,
2018-04-25,,,,,,103.43043518066406,,,,103.50386812667088,,,,102.22281930265255,,,,102.73687482566532,,,,5859600,
2018-04-26,,,,,,104.45037841796875,,,,105.4376892888005,,,,103.31620787202263,,,,103.31620787202263,,,,8211100,
2018-04-27,,,,,,104.66252136230469,,,,105.08680887644552,,,,104.0342327061016,,,,104.22190504146171,,,,4266800,
2018-04-30,,,,,,103.21011352539062,,,,105.24183908897562,,,,103.21011352539062,,,,105.14392850413434,,,,8219400,
2018-05-01,,,,,,102.81845092773438,,,,103.33250013483726,,,,101.96985731385328,,,,103.07139488635386,,,,5122600,
2018-05-02,,,,,,100.77040100097656,,,,102.95715974944056,,,,100.52561211168789,,,,102.4186266831015,,,,7390800,
2018-05-03,,,,,,100.38691711425781,,,,100.9254502653646,,,,98.95899622753898,,,,100.6072283943437,,,,7282900,
2018-05-04,,,,,,101.33345031738281,,,,101.59455566032173,,,,99.38331842553605,,,,100.03607867026211,,,,6127600,
2018-05-07,,,,,,100.84385681152344,,,,102.19018355757832,,,,100.62355174137406,,,,101.29263446862223,,,,6707900,
2018-05-08,,,,,,100.04424285888672,,,,100.76228101644193,,,,99.2935657543641,,,,100.24823160850107,,,,5951800,
2018-05-09,,,,,,100.77859497070312,,,,101.21921137915977,,,,99.97895640159838,,,,100.35429492171136,,,,6808600,
2018-05-10,,,,,,102.27991485595703,,,,102.85108685014134,,,,101.17837731571299,,,,101.3578883360212,,,,4948000,
2018-05-11,,,,,,103.82207489013672,,,,104.11581908186825,,,,102.61446541323185,,,,102.62262047810636,,,,5716700,
2018-05-14,,,,,,102.85924530029297,,,,104.12397754846593,,,,102.48390689331187,,,,103.91182758791481,,,,6101600,
2018-05-15,,,,,,102.10042572021484,,,,102.6715978368262,,,,101.50478217996341,,,,102.43497018890395,,,,5875700,
2018-05-16,,,,,,102.27991485595703,,,,102.72869240672756,,,,101.99433197148487,,,,102.35335401210129,,,,3818100,
2018-05-17,,,,,,101.05599975585938,,,,102.47575935103637,,,,100.81121705337564,,,,102.39416511687513,,,,6473400,
2018-05-18,,,,,,101.37425231933594,,,,101.53744706230913,,,,100.59093622879338,,,,100.99891374836199,,,,5433900,
2018-05-21,,,,,,100.9499282836914,,,,101.98618813475119,,,,100.62354512048073,,,,101.68428884460518,,,,5558700,
2018-05-22,,,,,,100.28901672363281,,,,101.37423197673225,,,,100.16662224727435,,,,101.01521606472022,,,,7172700,
2018-05-23,,,,,,100.72962188720703,,,,101.15392188752767,,,,100.15029470140581,,,,100.25637281410665,,,,4940800,
2018-05-24,,,,,,99.75047302246094,,,,100.68066098452842,,,,99.1793071598725,,,,100.54195016436279,,,,6923600,
2018-05-25,,,,,,99.84911346435547,,,,100.94238342732757,,,,99.56962804106891,,,,99.92309102641288,,,,4594800,
2018-05-29,,,,,,98.14757537841797,,,,99.29838570953274,,,,97.50641132475151,,,,99.05178125593251,,,,9821900,
2018-05-30,,,,,,99.43810272216797,,,,99.9395270649028,,,,98.26263346694849,,,,98.73939862420625,,,,6423700,
2018-05-31,,,,,,98.32840728759766,,,,99.6682754545571,,,,98.26264527081887,,,,99.39701183890294,,,,10337500,
2018-06-01,,,,,,99.67650604248047,,,,99.72582442369728,,,,98.61611694643783,,,,98.95313633710535,,,,5741000,
2018-06-04,,,,,,100.2436752319336,,,,100.58892267677099,,,,99.47920904996882,,,,100.1614758484622,,,,4853000,
2018-06-05,,,,,,99.85733795166016,,,,100.74510007711993,,,,99.38057274540613,,,,100.32588133810678,,,,5125400,
2018-06-06,,,,,,100.93415069580078,,,,100.93415069580078,,,,99.84088085102152,,,,100.26010580492374,,,,6799300,
2018-06-07,,,,,,101.37804412841797,,,,101.5095618826069,,,,100.50671313734708,,,,101.10678052917673,,,,7414100,
2018-06-08,,,,,,101.97811889648438,,,,102.62750474911532,,,,101.37805769575975,,,,101.40271688600713,,,,6208100,
2018-06-11,,,,,,100.82730102539062,,,,102.20826566083987,,,,100.73687982596326,,,,102.15072546769615,,,,5571400,
2018-06-12,,,,,,100.7286605834961,,,,101.25474415467203,,,,100.24367356766808,,,,101.23830678681502,,,,5227300,
2018-06-13,,,,,,100.8026351928711,,,,102.00276369642059,,,,100.6628956202424,,,,101.2300820015609,,,,5836900,
2018-06-14,,,,,,100.62179565429688,,,,101.23007856913419,,,,100.35874761392348,,,,100.86839378503123,,,,5239200,
2018-06-15,,,,,,100.78622436523438,,,,100.88486740969448,,,,99.66007312544434,,,,100.36699926554431,,,,13173500,
2018-06-18,,,,,,99.72581481933594,,,,100.128596193776,,,,98.84626823434415,,,,99.96419742461178,,,,6787400,
2018-06-19,,,,,,100.75332641601562,,,,101.2465290125951,,,,99.10931357980982,,,,99.18329741857295,,,,8572400,
2018-06-20,,,,,,100.31765747070312,,,,100.82730367437337,,,,100.00529730991799,,,,100.63001763148826,,,,6277200,
2018-06-21,,,,,,99.83267211914062,,,,100.48205791045746,,,,99.553192960843,,,,100.14503855654497,,,,4417200,
2018-06-22,,,,,,100.97525787353516,,,,101.4191420588402,,,,99.99707457336203,,,,100.02173376064384,,,,9501400,
2018-06-25,,,,,,100.76976013183594,,,,101.46024875914453,,,,99.88199799874066,,,,100.95882436056658,,,,8170500,
2018-06-26,,,,,,100.57247161865234,,,,101.01635578234857,,,,99.955966880976,,,,100.68755200130576,,,,5496400,
2018-06-27,,,,,,99.96420288085938,,,,101.08213213214583,,,,99.83267884122031,,,,100.39164346686354,,,,5666000,
2018-06-28,,,,,,100.2847900390625,,,,100.62181570438943,,,,99.5203237657771,,,,100.10394761097602,,,,5296800,
2018-06-29,,,,,,99.74224090576172,,,,101.25473575091941,,,,99.61894497854017,,,,100.48204782614263,,,,7308700,
2018-07-02,,,,,,99.93952941894531,,,,100.06283162064533,,,,98.73117913082399,,,,99.74224338766108,,,,5481400,
2018-07-03,,,,,,100.868408203125,,,,101.48491302519957,,,,99.67650138901205,,,,99.9970833947779,,,,4248100,
2018-07-05,,,,,,102.75080108642578,,,,102.84944411317679,,,,101.29585250246292,,,,101.59999085997558,,,,7319100,
2018-07-06,,,,,,103.36731719970703,,,,103.50705679933121,,,,102.43023029300912,,,,102.88233637580718,,,,7297900,
2018-07-09,,,,,,103.6138916015625,,,,104.18929347510954,,,,103.24398502164506,,,,103.75363116065105,,,,6706100,
2018-07-10,,,,,,104.7071762084961,,,,104.82225660633782,,,,103.66323080767151,,,,103.87695423426814,,,,5075600,
2018-07-11,,,,,,103.77007293701172,,,,104.75648425397395,,,,103.6221115530379,,,,104.7318250685467,,,,4827400,
2018-07-12,,,,,,105.01953125,,,,105.3894378640698,,,,104.53454425059579,,,,104.97842842463315,,,,6199000,
2018-07-13,,,,,,103.51524353027344,,,,104.80579304475243,,,,103.01381923438576,,,,103.01381923438576,,,,8250200,
2018-07-16,,,,,,102.49598693847656,,,,103.65501277954475,,,,102.06032452050727,,,,103.57281338828079,,,,7314400,
2018-07-17,,,,,,106.1292495727539,,,,107.30471273484632,,,,104.85513711097032,,,,105.65248434318482,,,,12858700,
2018-07-18,,,,,,105.05240631103516,,,,106.07991417295291,,,,104.53453833492603,,,,105.88262814804929,,,,7152000,
2018-07-19,,,,,,103.52347564697266,,,,104.97020222260541,,,,103.46593545670784,,,,104.83046265644947,,,,5984600,
2018-07-20,,,,,,103.44950103759766,,,,103.68788363891267,,,,102.84943989584863,,,,102.9974012942024,,,,5835500,
2018-07-23,,,,,,104.09066009521484,,,,104.13176292058907,,,,103.12069236764319,,,,103.36729677706725,,,,4631100,
2018-07-24,,,,,,106.3347396850586,,,,106.54845681611535,,,,104.51810644261245,,,,104.59208400226811,,,,7158800,
2018-07-25,,,,,,105.7264633178711,,,,106.22788774333038,,,,104.92912234645665,,,,106.15391017469445,,,,6523000,
2018-07-26,,,,,,107.09099578857422,,,,107.86368383307152,,,,106.73753904722733,,,,106.7786293341206,,,,7640600,
2018-07-27,,,,,,108.13493347167969,,,,108.7267790231361,,,,106.81150280006479,,,,106.84437753389193,,,,6620400,
2018-07-30,,,,,,108.64456939697266,,,,108.90761742924381,,,,107.8883251184239,,,,108.32398744690502,,,,11013100,
2018-07-31,,,,,,108.93230438232422,,,,109.0309411481591,,,,108.31579951020868,,,,108.7350183078307,,,,7598900,
2018-08-01,,,,,,109.03092193603516,,,,109.29396998900866,,,,108.57060038615305,,,,108.82542034820767,,,,5770400,
2018-08-02,,,,,,107.8883285522461,,,,109.32683959960937,,,,107.75680453192442,,,,109.23641840349084,,,,6563300,
2018-08-03,,,,,,108.46372985839844,,,,109.08023458954828,,,,107.60062072622449,,,,107.83078148909476,,,,6498700,
2018-08-06,,,,,,108.52127075195312,,,,108.94048943220807,,,,107.69103639586797,,,,108.20890435716305,,,,5840000,
2018-08-07,,,,,,108.06098175048828,,,,108.64459935091327,,,,107.92945769809077,,,,108.40622298091377,,,,4664600,
2018-08-08,,,,,,107.82257843017578,,,,108.34044647802733,,,,107.5924176406467,,,,108.08562649982174,,,,3721500,
2018-08-09,,,,,,107.84724426269531,,,,108.27469113079137,,,,107.41158184547506,,,,108.1267234467945,,,,4057800,
2018-08-10,,,,,,107.47734069824219,,,,108.2007103701822,,,,107.07455303221691,,,,107.8390255342122,,,,4324000,
2018-08-13,,,,,,107.04168701171875,,,,107.60064540896123,,,,106.73754862162056,,,,107.45269026009953,,,,3778000,
2018-08-14,,,,,,106.44982147216797,,,,107.24716862870567,,,,106.32652553778436,,,,106.58956104540985,,,,4542800,
2018-08-15,,,,,,107.21427154541016,,,,107.46910402453219,,,,105.98126214305681,,,,106.65531330356369,,,,5377300,
2018-08-16,,,,,,108.89942169189453,,,,109.22823182991965,,,,107.32939875056249,,,,107.69929918086953,,,,7861500,
2018-08-17,,,,,,110.53518676757812,,,,110.97084909764695,,,,108.66101343068796,,,,108.87473055057171,,,,6700900,
2018-08-20,,,,,,112.51620483398438,,,,112.7134782808418,,,,110.14882312914857,,,,110.91328282135777,,,,7935000,
2018-08-21,,,,,,111.25855255126953,,,,112.96831453812428,,,,111.21744972961568,,,,112.61485786610551,,,,5832100,
2018-08-22,,,,,,110.65028381347656,,,,111.52982415357859,,,,110.49410058807334,,,,111.43118739767021,,,,4688400,
2018-08-23,,,,,,111.06128692626953,,,,111.37365337681183,,,,110.23106496482379,,,,110.65028371990229,,,,5057600,
2018-08-24,,,,,,111.75174713134766,,,,111.91614587271366,,,,110.8311041454421,,,,111.06126489191848,,,,4809400,
2018-08-27,,,,,,111.64421081542969,,,,112.57927237095394,,,,111.05670387232524,,,,112.12415335603454,,,,4325900,
2018-08-28,,,,,,111.147705078125,,,,111.62763489474459,,,,110.79188023828927,,,,111.52834081219008,,,,6037500,
2018-08-29,,,,,,111.59452056884766,,,,111.66072082052179,,,,110.83323661420567,,,,111.14768465305602,,,,4648700,
2018-08-30,,,,,,111.66899871826172,,,,112.20687106482373,,,,111.3793868021817,,,,111.46212765260121,,,,4821900,
2018-08-31,,,,,,111.45387268066406,,,,111.71039081712972,,,,110.8580829195266,,,,111.37940211712426,,,,6139500,
2018-09-04,,,,,,110.65121459960938,,,,111.5035225185811,,,,110.41951997851471,,,,111.45387547497651,,,,4406800,
2018-09-05,,,,,,112.42204284667969,,,,112.48824312077241,,,,110.4360851295429,,,,110.45262572825766,,,,6174800,
2018-09-06,,,,,,113.25777435302734,,,,113.62186947249383,,,,111.85932383798952,,,,112.12412487993193,,,,6562000,
2018-09-07,,,,,,113.6301498413086,,,,113.93631499106206,,,,112.33099343300955,,,,113.18330124968142,,,,6375200,
2018-09-10,,,,,,113.53913879394531,,,,114.58176458063143,,,,113.41500855950497,,,,113.80392723321378,,,,4892200,
2018-09-11,,,,,,114.6148452758789,,,,114.94584657007314,,,,113.54739608982224,,,,113.89493797891996,,,,7856800,
2018-09-12,,,,,,115.31822967529297,,,,115.83954890214817,,,,114.65623961172024,,,,114.93758128515532,,,,6767700,
2018-09-13,,,,,,115.75678253173828,,,,116.24499525657714,,,,115.03687520438577,,,,115.75678253173828,,,,6456100,
2018-09-14,,,,,,115.42578887939453,,,,116.13742587830092,,,,115.10307050933282,,,,115.84780132442653,,,,4534800,
2018-09-17,,,,,,115.8147201538086,,,,116.1788026772558,,,,115.16927071680158,,,,115.29340095047625,,,,5295500,
2018-09-18,,,,,,116.2946548461914,,,,116.5429026975055,,,,115.7071479787053,,,,116.07124314377792,,,,4581200,
2018-09-19,,,,,,116.22844696044922,,,,116.66701261660853,,,,115.88917537695751,,,,116.47668214211825,,,,5049900,
2018-09-20,,,,,,117.4862289428711,,,,117.6186294742414,,,,116.26982589202687,,,,116.52635665646045,,,,5019300,
2018-09-21,,,,,,118.23096466064453,,,,118.4378357423568,,,,117.24625629146874,,,,117.65171553072315,,,,13283400,
2018-09-24,,,,,,116.23674011230469,,,,117.91653251272399,,,,116.03813930151232,,,,117.58554378781388,,,,6708000,
2018-09-25,,,,,,114.7224349975586,,,,116.6422048375635,,,,114.52383419901713,,,,116.28637998514459,,,,7982800,
2018-09-26,,,,,,114.32524871826172,,,,115.8478169970271,,,,114.15975436211939,,,,114.97895584426739,,,,7133300,
2018-09-27,,,,,,114.3749008178711,,,,115.50028016635504,,,,113.83704098003247,,,,114.56521870452637,,,,6450500,
2018-09-28,,,,,,114.33350372314453,,,,114.65622209369754,,,,113.70462020336154,,,,114.27558638812647,,,,6638500,
