Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,#,FARGO,WELLS,#,FARGO,WELLS,WFC,#,FARGO,WELLS,WFC,#,FARGO,WELLS,WFC,#,FARGO,WELLS,WFC,#,FARGO,WELLS,WFC
Date,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,49.149505615234375,,,,49.36673247694374,,,,48.835734504682954,,,,49.10927910064071,,,,13819300
2018-01-03,,,,,,,49.527645111083984,,,,49.69659832579146,,,,49.15755317099442,,,,49.25410049575859,,,,14203700
2018-01-04,,,,,,,50.14713668823242,,,,50.72640521500085,,,,49.809227234288535,,,,49.86554496509816,,,,18740500
2018-01-05,,,,,,,50.48503494262695,,,,50.533308590869225,,,,49.95403708830458,,,,50.493079016124504,,,,14217900
2018-01-08,,,,,,,49.913818359375,,,,50.46895158976718,,,,49.833362266435905,,,,50.41263385925288,,,,15569400
2018-01-09,,,,,,,50.090816497802734,,,,50.501134906220884,,,,49.93795452218616,,,,50.1229989355387,,,,15766500
2018-01-10,,,,,,,50.782718658447266,,,,51.007992631753005,,,,50.17126774595656,,,,50.2678119807528,,,,18107500
2018-01-11,,,,,,,50.69422912597656,,,,51.22522713231019,,,,50.43677573315338,,,,51.209138980709454,,,,22075000
2018-01-12,,,,,,,50.32413101196289,,,,51.0079939546441,,,,49.921859775945464,,,,50.84708484641994,,,,25886100
2018-01-16,,,,,,,50.28390121459961,,,,50.806855014865754,,,,50.02644788590772,,,,50.517219252815934,,,,17907800
2018-01-17,,,,,,,51.39418029785156,,,,51.522906986455695,,,,50.2758666151495,,,,50.565499362694034,,,,23892900
2018-01-18,,,,,,,51.45048904418945,,,,51.7401217411368,,,,51.37808010268117,,,,51.38612417658839,,,,16305900
2018-01-19,,,,,,,51.667724609375,,,,51.69990704861985,,,,51.3539534994535,,,,51.611406875239666,,,,16524000
2018-01-22,,,,,,,52.078041076660156,,,,52.09412922659065,,,,51.4665870303702,,,,51.49072232435215,,,,12245200
2018-01-23,,,,,,,51.884944915771484,,,,52.17458071134388,,,,51.66772113817831,,,,51.74012701798528,,,,12937100
2018-01-24,,,,,,,52.68145751953125,,,,52.802134011295564,,,,52.134368250230025,,,,52.25504474199435,,,,20180300
2018-01-25,,,,,,,52.81821823120117,,,,52.9791242816552,,,,52.61708259904746,,,,52.858441674728496,,,,17568700
2018-01-26,,,,,,,53.043487548828125,,,,53.13198771534623,,,,52.49639840043084,,,,53.01130511207862,,,,16251900
2018-01-29,,,,,,,52.954986572265625,,,,53.34921067461539,,,,52.82626296540884,,,,52.9228041360084,,,,16105200
2018-01-30,,,,,,,52.520545959472656,,,,53.04349993698525,,,,52.520545959472656,,,,52.64122859092535,,,,16158900
2018-01-31,,,,,,,52.92280960083008,,,,53.18026297930043,,,,52.42399713276592,,,,52.51249116889608,,,,18147900
2018-02-01,,,,,,,53.01993942260742,,,,53.489352587539656,,,,52.65573220740113,,,,52.90663215781866,,,,15717600
2018-02-02,,,,,,,51.85447311401367,,,,53.03611013029086,,,,51.660233019842686,,,,52.87424441427857,,,,18905300
2018-02-05,,,,,,,47.07128143310547,,,,48.47144126022715,,,,46.53711639450765,,,,47.50832639761045,,,,103394400
2018-02-06,,,,,,,46.359046936035156,,,,47.346443846962444,,,,45.217876361680915,,,,46.05959165993399,,,,83076900
2018-02-07,,,,,,,46.569480895996094,,,,47.038897060624336,,,,45.93010077854562,,,,46.08387445383247,,,,45551000
