Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2018-05-18,182.87266540527344,184.4958548008015,182.8630660241648,184.0444347444519,4208500
2018-05-21,183.64102172851562,185.20658536282463,182.49806530755697,183.9291643426674,2632600
2018-05-22,184.04440307617188,185.0240820357993,183.29524112338063,183.6217958914094,2620200
2018-05-23,185.36029052734375,185.36988990885604,182.77663531274257,183.1992425879918,2529900
2018-05-24,184.32298278808594,185.7540673542072,182.48848971623949,185.28344852343457,2912900
2018-05-25,183.6122283935547,184.30376487859743,182.2195560423455,184.16930026514711,2459600
2018-05-29,182.0370635986328,182.95911712236472,179.222906122244,182.72860007754585,4545000
2018-05-30,184.17884826660156,184.34212563341782,182.39238195452876,182.90142746740878,2764200
2018-05-31,182.6037139892578,184.83200120136036,182.31558603557377,184.30374219370313,4641400
2018-06-01,187.64617919921875,187.64617919921875,184.3133620463545,184.43822727718168,4194900
2018-06-04,189.912841796875,190.2778233816167,187.51167801418615,188.19361497690767,3917200
2018-06-05,191.47842407226562,191.8145928970633,190.00891286542705,190.27784206304835,2655500
2018-06-06,195.1762237548828,195.2530481070806,191.87221969977426,191.95865808765345,3233100
2018-06-07,191.6513214111328,195.9350049280981,190.46035330974527,195.33952087740434,4084100
2018-06-08,192.1315460205078,192.60217947441666,191.13266817296744,191.324758375701,2296700
2018-06-11,190.64285278320312,193.05361654969337,190.42193510779612,192.67903549186352,2616900
2018-06-12,192.21798706054688,192.2371858207407,190.35468143379683,191.24790741569996,2660500
2018-06-13,191.5264892578125,193.64911047494107,191.33439902835738,192.6982587096974,2686100
2018-06-14,191.4303741455078,193.4281441200174,191.1806583945217,192.7366077959356,2846900
2018-06-15,191.64170837402344,191.7761729776805,189.75920392282492,190.7004561484242,4162100
2018-06-18,193.17848205566406,193.48582347648082,189.6055482734601,189.82645129362945,2081300
2018-06-19,191.79537963867188,192.0258820050837,189.4710546255859,190.61401104418493,2666200
2018-06-20,193.57225036621094,195.4163574036277,192.33325606397577,192.57337248852505,3898600
2018-06-21,192.84230041503906,195.62764505886662,192.07392493053868,194.40786418234856,2678200
2018-06-22,193.51463317871094,193.88921423106413,191.71856693480512,193.6010862335187,2993600
2018-06-25,187.2716064453125,192.51575584993617,186.05182550383287,192.4677296316828,4780600
2018-06-26,188.69309997558594,190.8061216080511,188.02076225365022,188.42415609348544,4271200
2018-06-27,185.54273986816406,190.36428134334946,185.52354110791686,189.65354617010584,3233000
2018-06-28,189.30780029296875,189.93209715211083,185.57158920828425,185.81170563957642,2621100
2018-06-29,188.75071716308594,190.46994426022286,188.42414769778063,190.36429245053,3006900
2018-07-02,189.8552703857422,190.14341305299382,187.0507120459522,188.00157845121916,3018300
2018-07-03,188.52980041503906,190.7292750122668,188.38573642637482,190.48915859413103,1567400
2018-07-05,191.0078582763672,191.09431134985215,189.35585567433742,190.172257591875,3101900
2018-07-06,191.87332153320312,192.5849513504207,189.91149711916714,190.5173568167356,2050300
2018-07-09,193.229248046875,193.86395673142346,191.61364194873872,193.10424034160684,2377300
