Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,#,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS
Date,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,,,,,1891.7852783203125,,,,1902.5684867602208,,,,1877.2001740411679,,,,1886.0874973270018,,,,398200,,
2018-01-23,,,,,1938.3648681640625,,,,1944.7045362166407,,,,1900.8900323076964,,,,1903.4180401870467,,,,472000,,
2018-01-24,,,,,1930.76123046875,,,,1960.0893510861056,,,,1918.3288855800429,,,,1953.1474552602065,,,,405300,,
2018-01-25,,,,,1925.260986328125,,,,1951.8537664311941,,,,1921.113496255117,,,,1942.255485716417,,,,329900,,
2018-01-26,,,,,1926.0606689453125,,,,1940.359365239162,,,,1920.6097580836715,,,,1936.4390971488856,,,,380500,,
2018-01-29,,,,,1905.07666015625,,,,1935.9156516142282,,,,1897.19658639966,,,,1918.3484584900061,,,,448800,,
2018-01-30,,,,,1897.4732666015625,,,,1908.9280152820195,,,,1876.538609524272,,,,1883.2436401008633,,,,382300,,
2018-01-31,,,,,1888.112060546875,,,,1910.7450355286244,,,,1872.2629509572373,,,,1903.872210104895,,,,452800,,
2018-02-01,,,,,1879.8564453125,,,,1904.6916006947981,,,,1869.6854698396678,,,,1880.1527376399379,,,,360000,,
2018-02-02,,,,,1835.82470703125,,,,1876.2126777286583,,,,1833.3263527987122,,,,1866.4662514297177,,,,513800,,
2018-02-05,,,,,1803.0703125,,,,1849.165834483267,,,,1793.7583183976433,,,,1818.2478828799537,,,,548200,,
2018-02-06,,,,,1835.390380859375,,,,1840.6634925207256,,,,1777.4746304439168,,,,1777.4746304439168,,,,564500,,
2018-02-07,,,,,1859.10986328125,,,,1876.5783356775037,,,,1813.6857597314347,,,,1824.2616374409886,,,,491200,,
2018-02-08,,,,,1783.4488525390625,,,,1865.6269398914762,,,,1780.4369891977387,,,,1860.6203469186698,,,,677100,,
2018-02-09,,,,,1742.9029541015625,,,,1801.16429930949,,,,1692.6105229030672,,,,1745.8456264880492,,,,1137500,,
2018-02-12,,,,,1767.58984375,,,,1779.1334312939778,,,,1710.6615769085272,,,,1751.7802735488508,,,,682300,,
2018-02-13,,,,,1775.351318359375,,,,1782.2340271228716,,,,1739.9402892531261,,,,1756.954555541788,,,,375200,,
2018-02-14,,,,,1795.6444091796875,,,,1802.9714371772009,,,,1750.822655832501,,,,1761.8823889657574,,,,452400,,
2018-02-15,,,,,1846.835205078125,,,,1852.3354178288455,,,,1813.1028411001976,,,,1827.6879457920859,,,,491300,,
2018-02-16,,,,,1861.400390625,,,,1902.7461865224004,,,,1845.2847649499656,,,,1851.1503401509647,,,,559100,,
2018-02-20,,,,,1870.9000244140625,,,,1891.3408195353213,,,,1857.3814762211855,,,,1859.4945781028164,,,,408000,,
2018-02-21,,,,,1857.1348876953125,,,,1892.0521838591155,,,,1857.1151187984997,,,,1889.4649897597687,,,,518700,,
2018-02-22,,,,,1853.638916015625,,,,1883.8656756731625,,,,1847.2992486457456,,,,1860.6005802981845,,,,432300,,
2018-02-23,,,,,1883.1448974609375,,,,1883.9250455527795,,,,1851.683786285648,,,,1866.0713227192048,,,,555300,,
2018-02-26,,,,,1881.7822265625,,,,1899.1420891772466,,,,1873.9021519949117,,,,1882.0882828148267,,,,570100,,
2018-02-27,,,,,1881.16015625,,,,1895.715608552233,,,,1846.6082246805795,,,,1860.4131821916433,,,,661900,,
2018-02-28,,,,,2008.5745849609375,,,,2061.2073362329784,,,,2008.5745849609375,,,,2025.3222132508376,,,,1441100,,
2018-03-01,,,,,2002.9755859375,,,,2027.8305106508399,,,,1973.8053767585732,,,,2009.137453903418,,,,837500,,
2018-03-02,,,,,2008.3277587890625,,,,2012.3566353406684,,,,1970.596051534956,,,,1977.7453998362976,,,,642400,,
2018-03-05,,,,,2046.7108154296875,,,,2050.9965666876533,,,,1989.6641802104864,,,,1994.7101900380642,,,,614800,,
2018-03-06,,,,,2059.400146484375,,,,2069.6305489481833,,,,2033.0344694571693,,,,2049.1205628705106,,,,533100,,
2018-03-07,,,,,2096.3515625,,,,2101.3186175208766,,,,2039.146894130898,,,,2039.146894130898,,,,580300,,
2018-03-08,,,,,2123.16162109375,,,,2141.9926959519303,,,,2104.0043595208963,,,,2111.2228980358577,,,,584400,,
2018-03-09,,,,,2143.43505859375,,,,2150.692895294617,,,,2132.0394955584875,,,,2141.8451089826485,,,,489400,,
2018-03-12,,,,,2178.470458984375,,,,2190.330106797554,,,,2146.8513211133427,,,,2152.7070116736727,,,,529700,,
2018-03-13,,,,,2142.832275390625,,,,2201.0837293073055,,,,2135.110111853192,,,,2183.249777026138,,,,519200,,
2018-03-14,,,,,2161.495849609375,,,,2167.1049121174765,,,,2135.2586677664845,,,,2148.3131303191876,,,,344500,,
2018-03-15,,,,,2160.380126953125,,,,2179.9322881122525,,,,2143.918904971334,,,,2162.5920735214163,,,,336000,,
2018-03-16,,,,,2144.30419921875,,,,2171.0551349736056,,,,2142.60576154792,,,,2168.6949213756748,,,,474000,,
2018-03-19,,,,,2120.01171875,,,,2138.6455898721215,,,,2098.287149654148,,,,2134.5575270374447,,,,450800,,
2018-03-20,,,,,2112.3291015625,,,,2140.551124745673,,,,2111.2625456860715,,,,2112.6646905724433,,,,256800,,
2018-03-21,,,,,2118.12548828125,,,,2138.7046646563635,,,,2107.855789528575,,,,2115.479108563702,,,,297200,,
2018-03-22,,,,,2087.336181640625,,,,2127.566124724902,,,,2075.516069820842,,,,2106.1870287599313,,,,443300,,
2018-03-23,,,,,2060.881591796875,,,,2112.210806505356,,,,2060.0223680815916,,,,2089.74562617848,,,,412500,,
2018-03-26,,,,,2106.996826171875,,,,2115.5582043386416,,,,2052.9915794063472,,,,2084.7884009819563,,,,292700,,
2018-03-27,,,,,2051.5498046875,,,,2113.445007660448,,,,2030.7632943850094,,,,2110.670129920899,,,,428800,,
