Price,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,#,#,IBM,#,IBM,#,IBM,#,IBM,#,IBM
Date,,,,,,,,,,,
2018-01-02,,,104.57585144042969,,104.95550882757558,,104.09450049675422,,104.74534791515617,,4395815
2018-01-03,,,107.45045471191406,,108.34536478823208,,105.98604755185522,,106.67079664849598,,9875914
2018-01-04,,,109.62667846679688,,110.04701109919317,,108.04701984901492,,108.2368485366228,,7903785
2018-01-05,,,110.16226959228516,,110.44024425138612,,109.21989989761263,,110.12837895301138,,5434807
2018-01-08,,,110.82666015625,,111.12496699360025,,109.62666982899987,,110.27751717566785,,5478425
2018-01-09,,,111.07075500488281,,111.5453213687723,,110.5487179376077,,111.1182040667351,,4541523
2018-01-10,,,111.30805206298828,,111.40974563589675,,110.16906889733897,,110.44703277272446,,4366109
2018-01-11,,,111.32160186767578,,111.823285072166,,110.71142965668861,,111.7283761278228,,3969047
2018-01-12,,,110.60295104980469,,111.6877004406773,,110.52838514705944,,111.19956483789962,,5263367
2018-01-16,,,111.0843276977539,,112.06058821300805,,110.7453454966991,,111.9317777900069,,8152733
2018-01-17,,,114.3385238647461,,114.66393673499672,,113.3961542489027,,113.90462200313665,,12248660
2018-01-18,,,114.65717315673828,,116.01987551617086,,113.9995519171036,,115.2537760962726,,14915228
2018-01-19,,,110.08090209960938,,112.13512683087825,,109.35547805536041,,111.49784873329476,,22146435
2018-01-22,,,110.23684692382812,,111.17244282414573,,109.22668512423465,,109.49787516452656,,8870917
2018-01-23,,,112.71141052246094,,112.71819514251555,,110.17583461448942,,110.38599552469799,,7809645
2018-01-24,,,112.1148681640625,,114.38603989038126,,111.74198437879905,,113.05045370792344,,5904670
2018-01-25,,,112.18258666992188,,113.07072254793529,,111.99275800040435,,112.48089350234842,,3454415
2018-01-26,,,113.45040893554688,,113.49786882026929,,112.39956095448619,,112.62329113609142,,3962143
2018-01-29,,,113.08432006835938,,114.16228498863245,,112.54872450864488,,113.52499585011124,,3678782
2018-01-30,,,110.92837524414062,,113.06396175215342,,110.61652074900013,,112.68430433312152,,5127806
2018-01-31,,,110.98262786865234,,111.8571947564087,,110.34533876957892,,111.01651851231136,,4260149
2018-02-01,,,110.10126495361328,,111.27413863697525,,109.76228280676824,,110.63684960392267,,4638173
2018-02-02,,,107.81653594970703,,109.83008599330898,,107.70805775629172,,109.62669884882675,,5493487
2018-02-05,,,103.40975189208984,,107.4571944074028,,101.69450902528187,,107.04363556006734,,9148944
2018-02-06,,,105.31484985351562,,105.41654342535759,,101.0911364388148,,101.89113741279006,,10321614
2018-02-07,,,104.30465698242188,,105.31481860068952,,103.91821503164105,,104.52160248325363,,6432063
2018-02-08,,,101.04578399658203,,104.85921634814675,,100.98416493018183,,104.39366949499654,,7090939
2018-02-09,,,102.36031341552734,,103.06548524204335,,98.86180532941603,,101.73728214686422,,8188402
2018-02-12,,,103.65425872802734,,104.33889807024707,,102.9011598225075,,103.3119390569175,,6151944
2018-02-13,,,103.209228515625,,103.50363191119972,,102.44928923326871,,103.31192330857323,,5115986
2018-02-14,,,105.95465850830078,,106.11897239601028,,102.6957755081499,,102.82585414878925,,5731034
2018-02-15,,,106.81045532226562,,107.39239990258078,,105.22893547373039,,106.46129513045982,,5882286
2018-02-16,,,106.92684173583984,,108.02911181763503,,106.5913734587874,,106.60506537250554,,4479913
2018-02-20,,,106.22852325439453,,106.77623265117371,,105.34534554005413,,106.65984590686281,,4696122
2018-02-21,,,105.40697479248047,,107.34449574119567,,105.36588811509527,,106.41339076956929,,3900116
2018-02-22,,,104.87294006347656,,106.14637565821845,,104.60593131297227,,105.77667207500537,,4209732
2018-02-23,,,106.47498321533203,,106.70090524787955,,105.48224847603774,,105.63972186955853,,3405881
2018-02-26,,,108.5699691772461,,108.77535878861012,,106.46812405239781,,106.67351366376184,,3776374
2018-02-27,,,107.18016815185547,,109.3915490071618,,107.16647623690825,,108.48782798411317,,4432216
2018-02-28,,,106.6872329711914,,108.26875305394503,,106.66670056116526,,107.830578966857,,3978461
2018-03-01,,,105.30427551269531,,107.46774053836744,,104.60594400913384,,106.48185691193646,,4225108
2018-03-02,,,105.76979064941406,,105.95464785223524,,103.98288139802557,,104.60590163913508,,3411111
2018-03-05,,,107.45404052734375,,107.823744127582,,105.26319183161571,,105.51650867791143,,3839448
2018-03-06,,,106.61190795898438,,108.09757350866849,,106.22851251273795,,107.67995374110748,,3855242
2018-03-07,,,108.39196014404297,,108.7411202874435,,105.93410351916297,,106.11896072023663,,4819654
2018-03-08,,,106.94740295410156,,109.2477868983952,,106.16690910512442,,108.85753997390664,,6752558
2018-03-09,,,109.06974792480469,,109.25459419840169,,107.69362882932323,,107.81001554368133,,5253221
2018-03-12,,,109.72017669677734,,110.2405022461042,,108.76852850883338,,109.29570547927933,,5296421
2018-03-13,,,109.07657623291016,,110.98671226764155,,108.7274052365153,,109.60374204561208,,4378138
2018-03-14,,,108.25504302978516,,110.00771723034434,,107.99487481874787,,109.65854611792949,,3798863
2018-03-15,,,109.27515411376953,,110.39796754681683,,108.52889563194321,,108.65898520519585,,4048648
