Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,#,FISHER,SCIENTIFIC,THERMO,#,FISHER,SCIENTIFIC,THERMO,TMO,#,FISHER,SCIENTIFIC,THERMO,TMO,#,FISHER,SCIENTIFIC,THERMO,TMO,#,FISHER,SCIENTIFIC,THERMO,TMO,#,FISHER,SCIENTIFIC,THERMO,TMO
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,,,,189.25379943847656,,,,,189.75396156943407,,,,,186.70401108339505,,,,,187.1158996261968,,,,,1140900
2018-01-03,,,,,,,,,192.72544860839844,,,,,192.87254631020997,,,,,187.48854596149388,,,,,188.4986717158565,,,,,1458300
2018-01-04,,,,,,,,,195.13790893554688,,,,,195.7459475870909,,,,,192.87251491147907,,,,,193.3432424448047,,,,,1566400
2018-01-05,,,,,,,,,198.4821014404297,,,,,198.73707577826946,,,,,195.36351044898902,,,,,196.1382499520689,,,,,1469500
2018-01-08,,,,,,,,,198.8057403564453,,,,,199.3157040193922,,,,,196.33439410510738,,,,,198.4821104336614,,,,,1974600
2018-01-09,,,,,,,,,202.12046813964844,,,,,202.92462716549633,,,,,199.47258985189222,,,,,200.79652899577033,,,,,1845200
2018-01-10,,,,,,,,,202.30677795410156,,,,,202.63040784082625,,,,,198.06039829183382,,,,,200.84555766562454,,,,,1421200
2018-01-11,,,,,,,,,204.6310272216797,,,,,204.68986629879248,,,,,201.9831640024837,,,,,202.9540387031649,,,,,1520600
2018-01-12,,,,,,,,,206.1118927001953,,,,,207.45543501857398,,,,,203.7778425726511,,,,,204.85660900911995,,,,,1486500
2018-01-16,,,,,,,,,203.99354553222656,,,,,207.7201746175222,,,,,203.50319999374446,,,,,207.7201746175222,,,,,2264300
2018-01-17,,,,,,,,,207.3966064453125,,,,,207.5829401996159,,,,,204.2780150759062,,,,,205.51368081326598,,,,,1461700
2018-01-18,,,,,,,,,208.30862426757812,,,,,208.9460675707399,,,,,206.45511847248144,,,,,207.31811656480133,,,,,1458500
2018-01-19,,,,,,,,,209.3874053955078,,,,,210.42695079960205,,,,,208.25961632520352,,,,,209.81891198510118,,,,,1439900
2018-01-22,,,,,,,,,211.16244506835938,,,,,211.17224659366562,,,,,208.66167941247602,,,,,209.8777269735243,,,,,1230300
2018-01-23,,,,,,,,,210.4073028564453,,,,,213.02574660088052,,,,,210.11309249955318,,,,,211.41741360925198,,,,,1267000
2018-01-24,,,,,,,,,211.16244506835938,,,,,212.4863692644194,,,,,208.88723420780582,,,,,210.86823470340354,,,,,1227400
2018-01-25,,,,,,,,,213.67298889160156,,,,,214.51638386472567,,,,,210.8583951636702,,,,,212.19213570339764,,,,,1668400
2018-01-26,,,,,,,,,215.5363311767578,,,,,215.5363311767578,,,,,212.54521974029836,,,,,213.95741759647342,,,,,1162000
2018-01-29,,,,,,,,,214.5850372314453,,,,,215.85013724849009,,,,,214.36928397216883,,,,,215.16364144306857,,,,,1042800
2018-01-30,,,,,,,,,210.4759521484375,,,,,212.10390322150312,,,,,208.43611254438437,,,,,211.81950934206924,,,,,1921700
2018-01-31,,,,,,,,,219.78269958496094,,,,,221.63620530509644,,,,,215.45784791659145,,,,,219.1452563075792,,,,,3414200
2018-02-01,,,,,,,,,218.06649780273438,,,,,222.06771973062018,,,,,215.3695969783439,,,,,219.8317449715311,,,,,1912800
2018-02-02,,,,,,,,,213.48667907714844,,,,,216.5170114265377,,,,,213.35918442703044,,,,,215.85995008944482,,,,,1992400
2018-02-05,,,,,,,,,204.2877655029297,,,,,215.02633031036808,,,,,203.79741994127352,,,,,212.5255799172488,,,,,2387600
2018-02-06,,,,,,,,,205.4351806640625,,,,,207.02391052397365,,,,,197.72694752323596,,,,,201.04168844317152,,,,,2415300
2018-02-07,,,,,,,,,203.54238891601562,,,,,207.12190453295366,,,,,202.1498097046753,,,,,204.31712810330913,,,,,1653000
2018-02-08,,,,,,,,,194.89279174804688,,,,,205.93538615005954,,,,,194.8535706774829,,,,,203.31694198815583,,,,,2196600
2018-02-09,,,,,,,,,196.3147735595703,,,,,198.48210787604546,,,,,190.75425578883335,,,,,196.6678230194978,,,,,2074300
2018-02-12,,,,,,,,,200.5611572265625,,,,,202.1498871881881,,,,,197.62890003811333,,,,,198.09962763659178,,,,,1528200
2018-02-13,,,,,,,,,199.5706787109375,,,,,200.52195046507097,,,,,196.9816542883891,,,,,199.58048023679808,,,,,1222700
2018-02-14,,,,,,,,,204.2877655029297,,,,,204.77811106458586,,,,,197.82501459169947,,,,,197.96231075039682,,,,,1412300
2018-02-15,,,,,,,,,206.65126037597656,,,,,206.6806799161983,,,,,202.63042028518097,,,,,206.27859291428658,,,,,1080800
2018-02-16,,,,,,,,,206.54335021972656,,,,,208.58318947429274,,,,,205.30768483847135,,,,,206.20010235396535,,,,,895800
2018-02-20,,,,,,,,,203.8268585205078,,,,,206.87680879751932,,,,,203.29729184867395,,,,,204.8663888140723,,,,,1127700
2018-02-21,,,,,,,,,205.7392120361328,,,,,209.51487935783993,,,,,204.27799164158452,,,,,204.27799164158452,,,,,1021300
2018-02-22,,,,,,,,,205.09190368652344,,,,,209.50501297280934,,,,,204.67019879558367,,,,,206.729655781513,,,,,1230600
2018-02-23,,,,,,,,,207.6221160888672,,,,,207.74959575422764,,,,,204.37601602919875,,,,,205.9157082146979,,,,,827300
2018-02-26,,,,,,,,,209.9365234375,,,,,210.0738195749344,,,,,207.1317466606348,,,,,208.08300313590087,,,,,990600
2018-02-27,,,,,,,,,206.6119842529297,,,,,210.72108216701503,,,,,206.39624598788808,,,,,209.78942865773945,,,,,1067000
2018-02-28,,,,,,,,,204.5525665283203,,,,,209.35794728726205,,,,,204.47410943883168,,,,,207.32792434182232,,,,,1099300
2018-03-01,,,,,,,,,201.24761962890625,,,,,204.7682969537911,,,,,198.9037685868275,,,,,204.61138279230815,,,,,1419500
