Price,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,#,SALESFORCE,#,CRM,SALESFORCE,#,CRM,SALESFORCE,#,CRM,SALESFORCE,#,CRM,SALESFORCE,#,CRM,SALESFORCE
Date,,,,,,,,,,,,,,,,,
2018-01-02,,,,103.50305938720703,,,103.790533683383,,,101.38164126813626,,,101.98634318543313,,,4669200,
2018-01-03,,,,104.37539672851562,,,105.21801166994962,,,103.71121851517178,,,103.98878507817389,,,3888700,
2018-01-04,,,,105.75332641601562,,,106.724816991551,,,104.85122748422407,,,105.07923292116628,,,4540200,
2018-01-05,,,,107.16099548339844,,,107.35926273541804,,,106.26881175711605,,,106.82395249964861,,,3368400,
2018-01-08,,,,107.91439056396484,,,108.191957139907,,,106.63559521355538,,,107.06186033035853,,,2933600,
2018-01-09,,,,108.20187377929688,,,108.39021820788709,,,107.30969008582038,,,108.05317523653045,,,3302300,
2018-01-10,,,,107.85491180419922,,,108.53891297614291,,,107.28986341183438,,,107.73595146149859,,,3113300,
2018-01-11,,,,108.15230560302734,,,108.44970269000574,,,107.72604047869008,,,108.0531757617419,,,3668100,
2018-01-12,,,,109.28240203857422,,,109.74832061037038,,,107.96396078429908,,,108.28118081314211,,,5749500,
2018-01-16,,,,107.94413757324219,,,110.47199028491463,,,107.2898745284034,,,109.88711132660468,,,5790800,
2018-01-17,,,,109.08415222167969,,,109.4211952239398,,,108.28119060548833,,,108.7966703628046,,,4254700,
2018-01-18,,,,110.79911041259766,,,111.19563733898379,,,109.26257897214418,,,109.2724942251624,,,3842800,
2018-01-19,,,,110.95773315429688,,,111.42365176313082,,,110.6405131002367,,,111.23529975620919,,,3120900,
2018-01-22,,,,111.90938568115234,,,111.978777326896,,,110.045718936093,,,110.66032849464465,,,2214700,
2018-01-23,,,,112.25635528564453,,,112.77184261751161,,,111.7012220634396,,,112.19687888701483,,,2816800,
2018-01-24,,,,111.86973571777344,,,112.85113404190771,,,111.52277747824338,,,112.64295909818968,,,4975500,
2018-01-25,,,,110.98745727539062,,,112.48434276084139,,,110.92798088627394,,,112.2959907778096,,,4715100,
2018-01-26,,,,112.71234893798828,,,112.93043913165788,,,111.05685710512878,,,111.74086588288844,,,3927400,
2018-01-29,,,,112.31583404541016,,,113.41619274783312,,,111.86973838697993,,,112.71235343540694,,,3181500,
2018-01-30,,,,111.25511932373047,,,112.46451546126376,,,110.86850009408721,,,111.44346374900886,,,3737700,
2018-01-31,,,,112.92053985595703,,,113.52523421557036,,,111.66156730345799,,,112.07791721524009,,,4181800,
2018-02-01,,,,111.76069641113281,,,113.27740505334003,,,111.55252145662621,,,112.3158371862732,,,4302800,
2018-02-02,,,,109.81771850585938,,,111.37408054269225,,,109.74832685694794,,,111.05686049579391,,,4403800,
2018-02-05,,,,106.71490478515625,,,110.6405055214202,,,106.56620624056823,,,108.20187510479208,,,6124000,
2018-02-06,,,,108.61822509765625,,,108.66779380028038,,,102.7893041610477,,,104.09783774123011,,,6857900,
2018-02-07,,,,109.09406280517578,,,111.31460311282669,,,107.86482851713691,,,108.12257216632214,,,4515400,
2018-02-08,,,,103.12635803222656,,,109.22293850611527,,,103.09661983275909,,,109.14363159878673,,,6803800,
2018-02-09,,,,106.05072784423828,,,107.17090944291645,,,101.48077173329112,,,104.40514370639303,,,6615800,
2018-02-12,,,,107.60708618164062,,,108.52900806256665,,,105.33697730144381,,,106.76446363475489,,,4624100,
2018-02-13,,,,106.75455474853516,,,107.14116641396596,,,105.00984084612826,,,107.07177477050715,,,7542800,
2018-02-14,,,,108.072998046875,,,108.27126529136105,,,105.8028967117056,,,105.8028967117056,,,7428000,
