Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,#,APPLIED,MATERIALS,#,AMAT,APPLIED,MATERIALS,#,AMAT,APPLIED,MATERIALS,#,AMAT,APPLIED,MATERIALS,#,AMAT,APPLIED,MATERIALS,#,AMAT,APPLIED,MATERIALS
Date,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,48.66861343383789,,,,48.68696551774811,,,,46.998612301330894,,,,47.42069973035967,,,,9819500,,
2018-01-03,,,,,49.53114700317383,,,,49.8064212980552,,,,48.80625534308758,,,,49.12741160403465,,,,10898900,,
2018-01-04,,,,,49.81559371948242,,,,50.41202071069209,,,,49.531141661941014,,,,50.00828535509006,,,,9462800,,
2018-01-05,,,,,50.10005569458008,,,,50.38450782830381,,,,49.751376498754624,,,,50.14593766798623,,,,10902200,,
2018-01-08,,,,,51.311248779296875,,,,51.79757023574514,,,,50.439547574952094,,,,50.47624824123148,,,,12658000,,
2018-01-09,,,,,50.338619232177734,,,,51.54982888010124,,,,49.58620122362836,,,,51.5406510871444,,,,13564900,,
2018-01-10,,,,,48.907196044921875,,,,49.65043988220611,,,,48.22818626791919,,,,49.63208779359753,,,,14537200,,
2018-01-11,,,,,48.815425872802734,,,,49.11822650202546,,,,48.283225948293264,,,,49.06317375142245,,,,10694200,,
2018-01-12,,,,,49.04483413696289,,,,49.54950431417632,,,,48.70532925415428,,,,48.85214246025824,,,,9072300,,
2018-01-16,,,,,50.00828552246094,,,,50.834111821117865,,,,49.55866820423611,,,,50.30191187302736,,,,14385000,,
2018-01-17,,,,,52.61423110961914,,,,52.77939639791907,,,,50.89835117039515,,,,51.11856922125986,,,,17924200,,
2018-01-18,,,,,52.66927719116211,,,,53.79790410950531,,,,52.00861616567258,,,,52.072846709783825,,,,17677700,,
2018-01-19,,,,,52.66927719116211,,,,52.962903535756986,,,,51.586528732855214,,,,52.94455145168204,,,,11458700,,
