Price,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,#,CHEVRON,#,CHEVRON,CVX,#,CHEVRON,CVX,#,CHEVRON,CVX,#,CHEVRON,CVX,#,CHEVRON,CVX
Date,,,,,,,,,,,,,,,,,
2018-01-02,,,,,92.35299682617188,,,92.46881523728212,,,90.87627480568962,,,90.99933359336586,,,5626000
2018-01-03,,,,,93.0262222290039,,,93.33749773590189,,,91.86077540591127,,,92.2661482139435,,,5805500
2018-01-04,,,,,92.73665618896484,,,92.91039209402282,,,92.09240072871198,,,92.62083225225952,,,4598300
2018-01-05,,,,,92.58464813232422,,,92.72942806371151,,,92.00553945235445,,,92.63531972761236,,,4189200
2018-01-08,,,,,93.04068756103516,,,93.1130802842886,,,92.38919171127995,,,92.55568724285772,,,4826100
2018-01-09,,,,,92.54121398925781,,,93.33748982726608,,,92.50502314748732,,,92.9683023725624,,,4422300
2018-01-10,,,,,93.13481140136719,,,93.20719309109518,,,92.51227143268738,,,92.88144787336773,,,5292200
2018-01-11,,,,,95.9651870727539,,,96.50809939324992,,,93.20718320634741,,,93.32300715232563,,,11641300
2018-01-12,,,,,96.71077728271484,,,96.89174804032054,,,95.63218759097666,,,95.6900995588799,,,7232900
2018-01-16,,,,,95.55980682373047,,,96.91347577095127,,,95.26302313877069,,,96.76145545549102,,,6254200
2018-01-17,,,,,95.81317138671875,,,96.13168173073981,,,94.79973942445169,,,95.6901125802706,,,5632700
2018-01-18,,,,,95.25577545166016,,,95.91451173033212,,,94.85040267880962,,,95.80593368245417,,,5890000
2018-01-19,,,,,95.04586029052734,,,95.55257628900448,,,94.25683030392862,,,95.42951747834434,,,6048900
2018-01-22,,,,,95.95796203613281,,,95.95796203613281,,,95.0313923580082,,,95.04587311579878,,,5248800
2018-01-23,,,,,94.84317016601562,,,95.9579453188807,,,94.63323787416174,,,95.82765165820994,,,5747300
