Price,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,#,HOLDING,#,ASML,HOLDING,#,ASML,HOLDING,#,ASML,HOLDING,#,ASML,HOLDING,#,ASML,HOLDING
Date,,,,,,,,,,,,,,,,,
2024-02-27,,,,930.888671875,,,947.0961981900878,,,929.889907675822,,,942.3891869279718,,,807500,
2024-02-28,,,,929.0393676757812,,,932.9948306568383,,,924.6883342543883,,,928.5844677049525,,,519700,
2024-02-29,,,,941.0838012695312,,,941.8452472525271,,,927.9714310493487,,,929.039423017414,,,777600,
2024-03-01,,,,979.9066772460938,,,980.4110084604613,,,939.6895221015237,,,940.984933883952,,,1698200,
2024-03-04,,,,986.9276123046875,,,996.4602932082815,,,976.7522048372766,,,981.548179878503,,,1433000,
2024-03-05,,,,958.0527954101562,,,980.9944343365894,,,948.0157831131565,,,978.690420413237,,,1259500,
2024-03-06,,,,992.751953125,,,998.3884997892594,,,970.5420073685674,,,975.9511342314483,,,1304500,
2024-03-07,,,,1035.72802734375,,,1044.578326795173,,,1003.5206652678307,,,1004.3611769440939,,,1580300,
2024-03-08,,,,983.2589111328125,,,1028.628016817173,,,982.1711225800457,,,1027.3128688082516,,,1638500,
2024-03-11,,,,951.951416015625,,,970.1070378447317,,,946.8389967655494,,,968.5940442108154,,,1432100,
2024-03-12,,,,973.3306274414062,,,974.0228455233702,,,939.8970795316212,,,956.0353754843703,,,1165200,
2024-03-13,,,,957.9934692382812,,,972.2133043685184,,,948.3816619709281,,,972.2133043685184,,,851100,
2024-03-14,,,,949.0936279296875,,,960.6534109642139,,,939.9762540471294,,,957.805533043053,,,876600,
2024-03-15,,,,929.7415161132812,,,944.1492977608106,,,921.4152227952943,,,944.1492977608106,,,1727400,
2024-03-18,,,,930.8590087890625,,,947.5411709037651,,,929.28668552605,,,938.7896718897716,,,821400,
2024-03-19,,,,941.3111572265625,,,945.9391019889987,,,917.6674040094529,,,928.0900271502602,,,817600,
2024-03-20,,,,960.1095581054688,,,963.4519293116979,,,936.3471445027587,,,945.4249252328844,,,838600,
2024-03-21,,,,979.7582397460938,,,994.4626680953343,,,977.078452286806,,,993.8199415941191,,,1112400,
2024-03-22,,,,969.0489501953125,,,980.0451330526456,,,961.7412174547659,,,962.868538951057,,,692800,
2024-03-25,,,,968.0303344726562,,,981.231728353965,,,965.5878650583234,,,968.228119692355,,,860900,
2024-03-26,,,,960.4852905273438,,,978.373898494284,,,960.0205525957022,,,975.7533801155812,,,706000,
2024-03-27,,,,963.1651611328125,,,968.297376908459,,,953.3358329358247,,,967.8820701833966,,,572100,
2024-03-28,,,,959.66455078125,,,961.0489870244761,,,950.9428076578894,,,958.7548111573007,,,685700,
2024-04-01,,,,981.894287109375,,,1011.2734507693192,,,968.8511450730615,,,968.8511450730615,,,1108500,
2024-04-02,,,,955.946533203125,,,962.997151583534,,,946.4632830894011,,,957.3507058188196,,,964000,
2024-04-03,,,,969.3555297851562,,,975.4864496675463,,,951.387794136921,,,955.1257359577143,,,892100,
2024-04-04,,,,942.7945556640625,,,985.701459024648,,,942.7748193890219,,,980.9450167398637,,,1269700,
2024-04-05,,,,968.6434326171875,,,975.6149240783602,,,956.154053375579,,,965.6274041530576,,,878400,
2024-04-08,,,,971.7682495117188,,,985.1080383638503,,,969.2169590648431,,,978.8287048538199,,,929000,
2024-04-09,,,,978.8090209960938,,,989.0635541918347,,,958.5669073204409,,,982.6754595963007,,,717500,
2024-04-10,,,,963.7584838867188,,,972.5297187136835,,,952.0898795053147,,,952.0898795053147,,,722800,
2024-04-11,,,,981.1328735351562,,,981.1427718501632,,,952.60411901783,,,970.6212251312818,,,964700,
2024-04-12,,,,951.1306762695312,,,961.3258799171707,,,945.8501065151779,,,959.0218057795744,,,1031000,
2024-04-15,,,,944.1888427734375,,,977.7113569093638,,,940.5102306422449,,,974.4481118668333,,,1077500,
2024-04-16,,,,966.0427856445312,,,967.7139713043626,,,946.5423805303619,,,947.6301087965139,,,1506500,
2024-04-17,,,,897.5044555664062,,,932.3323397021823,,,885.8655463845245,,,932.3125430728093,,,3774100,
2024-04-18,,,,879.13134765625,,,893.5390685366269,,,876.5306259024549,,,891.0867007877246,,,1653700,
2024-04-19,,,,849.9697265625,,,886.2314805495154,,,846.0637547597702,,,877.5591077763117,,,2486800,
2024-04-22,,,,862.3403930664062,,,870.2018881039152,,,852.8572040167609,,,860.3132302845524,,,1143900,
2024-04-23,,,,891.53173828125,,,897.949467606844,,,865.2575669762282,,,869.5096778056815,,,991300,
2024-04-24,,,,882.3847045898438,,,904.8121728445678,,,872.1499077328463,,,902.8838725362428,,,860600,
2024-04-25,,,,892.4612426757812,,,900.916032814405,,,861.3020730622956,,,865.2575360843957,,,1114200,
2024-04-26,,,,910.6278076171875,,,917.9804943923313,,,903.2751813231392,,,903.9886768062878,,,865100,
2024-04-29,,,,901.5113525390625,,,904.959742606707,,,892.9002357883079,,,903.5724272676508,,,650800,
2024-04-30,,,,864.5498657226562,,,898.9447971740005,,,863.3112129684733,,,887.9653622262175,,,1093000,
2024-05-01,,,,845.0982055664062,,,872.5962995418221,,,841.4317809401313,,,863.2023149592903,,,1458200,
2024-05-02,,,,862.3798828125,,,870.0297738891178,,,854.5218157999083,,,867.0570070079477,,,876800,
2024-05-03,,,,893.4452514648438,,,896.7450395598555,,,880.6028770677598,,,886.4691804546908,,,1038000,
2024-05-06,,,,908.5963745117188,,,910.0233049112474,,,896.8143554179127,,,900.946484092782,,,642000,
2024-05-07,,,,899.975341796875,,,917.9705230251125,,,899.4006504606556,,,916.4346056936778,,,655000,
2024-05-08,,,,903.1959228515625,,,908.4081838444365,,,895.1199423674888,,,896.2297705088121,,,555700,
2024-05-09,,,,905.2470703125,,,909.8350450662148,,,899.14301600025,,,906.3965739662887,,,756000,
2024-05-10,,,,921.8450317382812,,,930.4759862486699,,,916.6030748456013,,,916.6030748456013,,,814100,
2024-05-13,,,,908.9135131835938,,,920.5667684983957,,,905.9605842381626,,,919.2587438731532,,,745700,
2024-05-14,,,,906.7236328125,,,908.0613536831801,,,897.6566698589268,,,904.6129635410924,,,592000,
2024-05-15,,,,928.9103393554688,,,928.9103393554688,,,902.3833912591195,,,910.3107694357334,,,883000,
2024-05-16,,,,911.192626953125,,,930.2877181266331,,,910.5980977936306,,,927.9986901409376,,,811100,
2024-05-17,,,,916.5733032226562,,,922.518836584302,,,907.8928753187715,,,912.4411744710185,,,703700,
2024-05-20,,,,930.9120483398438,,,938.1259312368394,,,917.3760763275853,,,917.3760763275853,,,669300,
2024-05-21,,,,916.8706665039062,,,925.1052281338764,,,907.0308156378479,,,912.5799561476476,,,746400,
2024-05-22,,,,913.9573974609375,,,925.025982805759,,,905.1976175680513,,,922.7567924733034,,,668600,
2024-05-23,,,,925.7691040039062,,,960.6891941129603,,,918.991169261225,,,958.7965592436167,,,1357200,
2024-05-24,,,,947.5396728515625,,,949.868376496502,,,925.2538404677807,,,929.742747423795,,,684900,
2024-05-28,,,,982.84619140625,,,983.8668703359161,,,956.487684233133,,,963.9691349869119,,,1184000,
2024-05-29,,,,949.1846313476562,,,956.7354542266278,,,947.2622397195055,,,952.8212991535105,,,902000,
2024-05-30,,,,957.3497924804688,,,960.3523159074072,,,944.1507009471935,,,948.3125864636289,,,846500,
2024-05-31,,,,951.6322021484375,,,971.1038494445346,,,924.4611297446048,,,962.9881934263615,,,1040400,
2024-06-03,,,,956.7156372070312,,,963.4341193923302,,,939.7808090693328,,,960.5406432281042,,,752800,
2024-06-04,,,,942.1787719726562,,,954.9616930526481,,,934.4396717026133,,,953.5050059106418,,,765400,
2024-06-05,,,,1031.8868408203125,,,1032.1049356252026,,,999.7413842424291,,,1010.0964723552514,,,2586500,
2024-06-06,,,,1043.0546875,,,1044.8680317275139,,,1023.6127971887709,,,1038.4865503008762,,,1370700,
2024-06-07,,,,1019.0842895507812,,,1034.2651649837921,,,1017.2015131098381,,,1030.8068560569327,,,936200,
2024-06-10,,,,1032.25341796875,,,1036.6234182817398,,,1004.7157146927005,,,1006.9155931960966,,,1039500,
2024-06-11,,,,1026.60546875,,,1029.4791677441424,,,1010.4336088151009,,,1018.1627910131151,,,789500,
2024-06-12,,,,1059.1571044921875,,,1067.4411996963368,,,1046.0472229381871,,,1049.535288489868,,,978400,
2024-06-13,,,,1043.1536865234375,,,1051.368470395881,,,1029.3105322071135,,,1044.164446536957,,,1106300,
2024-06-14,,,,1018.5689697265625,,,1021.6408044028442,,,1007.3715003041018,,,1012.18742823811,,,1047200,
2024-06-17,,,,1042.916015625,,,1044.8087111810135,,,1023.2958256920472,,,1034.7111495443212,,,844400,
2024-06-18,,,,1051.7451171875,,,1059.7121711993332,,,1032.5410381462536,,,1032.7391742216726,,,1025300,
2024-06-20,,,,1041.20166015625,,,1053.4990394418755,,,1035.5336137817987,,,1048.623658309043,,,1150300,
2024-06-21,,,,1027.1900634765625,,,1029.5683012619074,,,1013.9216594384473,,,1028.7557981743655,,,1626000,
2024-06-24,,,,992.9140014648438,,,1025.3171102654892,,,992.9140014648438,,,1023.7911722731191,,,1027000,
2024-06-25,,,,1014.0504150390625,,,1014.1990170898274,,,993.5383121026077,,,996.0353950777526,,,621600,
2024-06-26,,,,1007.37158203125,,,1014.308038104008,,,994.7869172555523,,,1004.7952082538072,,,885100,
2024-06-27,,,,1018.677978515625,,,1032.2535647773873,,,1015.3385754154872,,,1020.0949295756828,,,784300,
2024-06-28,,,,1013.4458618164062,,,1039.289190707103,,,1006.2319795113112,,,1018.6680412651685,,,837600,
2024-07-01,,,,1024.1082763671875,,,1028.68633254673,,,1006.57885849146,,,1026.1496343634874,,,791000,
2024-07-02,,,,1038.3775634765625,,,1038.4766315122167,,,1016.5475165968038,,,1017.4492897418618,,,748700,
2024-07-03,,,,1061.68408203125,,,1064.547861957889,,,1045.8293254295857,,,1048.7822544926946,,,779800,
2024-07-05,,,,1064.72607421875,,,1072.9606958253726,,,1059.6327195564602,,,1069.9482536065093,,,771100,
2024-07-08,,,,1067.609619140625,,,1077.9152335910926,,,1066.063722540076,,,1073.3173403451246,,,881900,
2024-07-09,,,,1050.347900390625,,,1071.7023247286293,,,1049.7335333919464,,,1069.89877837102,,,925400,
2024-07-10,,,,1088.9739990234375,,,1090.589207189898,,,1055.332235761277,,,1059.4841420823723,,,925400,
2024-07-11,,,,1052.8548583984375,,,1100.0128129630789,,,1051.9234495737974,,,1099.9038260343775,,,1151400,
2024-07-12,,,,1075.4083251953125,,,1090.6288769279022,,,1056.6204774407743,,,1063.0217966731343,,,1053800,
2024-07-15,,,,1053.974609375,,,1088.7559552259347,,,1050.7441932495524,,,1087.4776268497747,,,1365600,
2024-07-16,,,,1058.4932861328125,,,1067.2729645934837,,,1051.1109630161338,,,1064.765902019073,,,1197600,
2024-07-17,,,,923.5989990234375,,,971.0938956765569,,,920.2695147460678,,,969.6967219019608,,,5188400,
2024-07-18,,,,915.7608032226562,,,948.5206897334987,,,902.7301517032187,,,944.8443464862996,,,2242200,
2024-07-19,,,,887.2420654296875,,,911.9854258886427,,,883.5657220456565,,,906.9217671382728,,,2133600,
2024-07-22,,,,932.7155151367188,,,934.0136209045351,,,913.6402612428956,,,919.7641536767915,,,1926800,
2024-07-23,,,,924.3421630859375,,,931.8731478426317,,,920.7451105520096,,,926.8888404751514,,,1056200,
2024-07-24,,,,864.827392578125,,,911.3214475537774,,,862.8554669801297,,,909.8251452812217,,,1912000,
2024-07-25,,,,854.7992553710938,,,878.3237396343296,,,842.4622614064831,,,865.075114145074,,,2075900,
2024-07-26,,,,880.325439453125,,,887.4402540090705,,,874.2213244733707,,,885.8052080906483,,,1681600,
2024-07-29,,,,864.2457275390625,,,891.4969550429146,,,862.7268388457055,,,880.5666764448663,,,1231500,
2024-07-30,,,,854.0103149414062,,,887.466278817969,,,849.801029815728,,,886.0367045683847,,,1682100,
2024-07-31,,,,929.916748046875,,,935.4166074301372,,,910.399085174437,,,918.8177170905772,,,2406800,
2024-08-01,,,,877.3104248046875,,,921.0414140912235,,,865.4965772593324,,,916.3555635899928,,,1808500,
2024-08-02,,,,803.4889526367188,,,822.5896743387743,,,790.1264639205444,,,818.2314506057356,,,3624100,
2024-08-05,,,,814.4092407226562,,,832.8050809607909,,,761.8526143128531,,,769.3876764112115,,,2815600,
2024-08-06,,,,836.9051513671875,,,853.782041805532,,,829.4793389641256,,,834.2743177380656,,,1995700,
2024-08-07,,,,830.2933349609375,,,872.028930410243,,,828.5858198622107,,,870.6489819056864,,,1521600,
2024-08-08,,,,870.3015747070312,,,872.2672167213506,,,843.1099107408819,,,854.7350714776031,,,1447700,
2024-08-09,,,,854.3181762695312,,,859.033778378466,,,842.3951389265612,,,849.0366946363451,,,950500,
2024-08-12,,,,846.683837890625,,,860.6916431051196,,,846.6441493717542,,,855.5094738106174,,,1151200,
